sample_id,frame,simulation_time,ego_speed_kmh,ego_x,ego_y,ego_z,ego_roll,ego_pitch,ego_yaw,lidar_points,semantic_points,adaptive_cells,terrain_cells,static_cells,vehicle_cells,pedestrian_cells,road_cells,sidewalk_cells,minimum_resolution_m,maximum_resolution_m,front_vehicle_type,front_vehicle_distance_m,collision_count,raw_lidar_file,semantic_lidar_file,adaptive_grid_file
1,13613,322.838,0.037,19.601,24.611,0.0,0.0,0.0,0.159,25890,47381,16044,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000001.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000001.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000001.npz
2,13615,322.938,0.017,19.601,24.611,0.001,0.0,0.0,0.159,26601,48273,14880,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000002.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000002.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000002.npz
3,13617,323.038,0.002,19.601,24.611,0.001,0.0,0.0,0.159,25954,47385,16065,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000003.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000003.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000003.npz
4,13619,323.138,0.004,19.601,24.611,0.001,0.0,0.0,0.159,26680,48278,14955,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000004.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000004.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000004.npz
5,13621,323.188,0.003,19.601,24.611,0.002,0.0,0.0,0.159,25882,47384,16024,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000005.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000005.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000005.npz
6,13623,323.288,0.002,19.601,24.611,0.002,0.0,0.0,0.159,26339,48282,14813,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000006.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000006.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000006.npz
7,13625,323.388,0.001,19.601,24.611,0.002,0.0,0.0,0.159,25955,47390,16059,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000007.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000007.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000007.npz
8,13627,323.488,0.0,19.601,24.611,0.002,0.0,0.0,0.159,26493,48283,14842,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000008.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000008.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000008.npz
9,13629,323.588,0.0,19.601,24.611,0.002,0.0,0.0,0.159,26051,47388,16058,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000009.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000009.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000009.npz
10,13631,323.688,0.964,19.604,24.611,0.002,-0.0,0.004,0.16,26618,48286,14946,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000010.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000010.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000010.npz
11,13633,323.788,5.337,19.707,24.612,0.001,-0.003,0.061,0.205,26036,47357,16040,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000011.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000011.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000011.npz
12,13635,323.888,7.796,19.896,24.615,0.001,-0.003,0.079,0.272,26453,48222,14877,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000012.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000012.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000012.npz
13,13637,323.988,9.492,20.139,24.618,0.001,-0.003,0.075,0.371,25826,47323,16044,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000013.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000013.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000013.npz
14,13639,324.088,10.938,20.424,24.622,0.001,-0.002,0.066,0.464,26462,48260,14911,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000014.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000014.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000014.npz
15,13641,324.188,12.231,20.748,24.627,0.001,-0.002,0.058,0.543,25872,47344,15982,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000015.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000015.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000015.npz
16,13643,324.288,13.514,21.107,24.632,0.001,-0.001,0.053,0.611,26548,48235,14894,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000016.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000016.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000016.npz
17,13645,324.388,14.767,21.502,24.637,0.001,-0.001,0.049,0.669,25950,47334,15997,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000017.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000017.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000017.npz
18,13647,324.488,15.957,21.93,24.644,0.001,-0.001,0.046,0.716,26497,48230,14932,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000018.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000018.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000018.npz
19,13649,324.588,17.099,22.391,24.65,0.001,-0.0,0.044,0.749,25909,47319,16239,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000019.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000019.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000019.npz
20,13651,324.688,18.179,22.883,24.657,0.002,0.0,0.042,0.769,26483,48178,15120,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000020.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000020.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000020.npz
21,13653,324.788,18.502,23.398,24.664,0.002,0.0,0.033,0.777,26024,47294,16247,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000021.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000021.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000021.npz
22,13655,324.888,18.43,23.911,24.671,0.002,0.001,0.018,0.776,26439,48229,15098,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000022.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000022.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000022.npz
23,13657,324.988,18.693,24.427,24.678,0.002,0.001,0.013,0.767,25980,47338,16296,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000023.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000023.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000023.npz
24,13659,325.088,19.152,24.954,24.685,0.002,0.001,0.013,0.75,26435,47971,15048,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000024.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000024.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000024.npz
25,13661,325.188,19.692,25.495,24.691,0.002,0.001,0.016,0.728,25932,47275,16396,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000025.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000025.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000025.npz
26,13663,325.288,20.238,26.052,24.698,0.002,0.001,0.017,0.701,26389,47934,15116,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000026.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000026.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000026.npz
27,13665,325.388,20.748,26.623,24.704,0.002,0.001,0.018,0.672,25858,47267,16491,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000027.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000027.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000027.npz
28,13667,325.488,21.204,27.207,24.71,0.002,0.001,0.017,0.641,26083,47858,14945,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000028.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000028.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000028.npz
29,13669,325.588,21.599,27.804,24.716,0.002,0.001,0.016,0.608,25889,47212,16561,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000029.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000029.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000029.npz
30,13671,325.688,21.935,28.41,24.722,0.002,0.001,0.014,0.576,26165,47824,14706,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000030.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000030.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000030.npz
31,13673,325.788,22.217,29.025,24.727,0.002,0.001,0.013,0.544,25911,47206,16886,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000031.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000031.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000031.npz
32,13675,325.888,22.451,29.646,24.733,0.002,0.001,0.011,0.512,26321,47656,14914,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000032.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000032.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000032.npz
33,13677,325.988,22.643,30.274,24.738,0.002,0.001,0.009,0.482,25824,47198,16872,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000033.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000033.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000033.npz
34,13679,326.088,22.8,30.906,24.742,0.002,0.001,0.008,0.454,25934,47564,14837,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000034.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000034.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000034.npz
35,13681,326.188,22.927,31.543,24.747,0.002,0.001,0.006,0.427,25961,47313,16945,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000035.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000035.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000035.npz
36,13683,326.288,23.03,32.182,24.751,0.002,0.001,0.005,0.403,25934,47425,14873,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000036.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000036.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000036.npz
37,13685,326.388,23.113,32.824,24.755,0.002,0.001,0.004,0.38,26116,47449,17121,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000037.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000037.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000037.npz
38,13687,326.488,23.18,33.468,24.759,0.002,0.001,0.004,0.359,25867,47296,14990,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000038.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000038.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000038.npz
39,13689,326.588,23.234,34.114,24.763,0.002,0.001,0.003,0.339,26199,47472,17204,0,0,0,0,0,0,0.05,0.5,,35.0,0,D:\python_carla\simulation_dataset\raw_lidar\lidar_000039.npz,D:\python_carla\simulation_dataset\semantic_lidar\semantic_000039.npz,D:\python_carla\simulation_dataset\adaptive_2_5d\grid_000039.npz
